bl:bonding line

height(cm)  0       50      100     150     200     250     300
rib1        9.94    11.86   12.87   12.52   11.54   10.79   10.33
bl          9.00    9.28    9.55    9.79    10.05   9.61    9.61
rib2        9.94    11.14   11.75   11.86   10.93   10.32   10.38
rib3(bl)    8.50    10.28   10.22   9.83    10.10   9.56    9.87
rib4        10.06   11.10   11.47   11.36   11.21   10.39   10.55
bl          9.95    10.17   10.27   9.94    10.38   9.77    10.12
rib5        10.22   11.25   11.77   11.97   12.09   11.14   10.43
bl          9.77    9.44    10.24   10.40   10.22   9.11    9.89
rib6        11.14   10.68   11.47   12.00   12.02   11.21   10.43
rib7(bl)    8.23    9.50    9.39    9.28    9.73    9.88    10.16
rib8        10.08   10.82   10.37   11.59   11.58   10.88   10.55
bl          9.22    9.40    9.54    10.11   10.16   9.11    9.40
